company,served_airports_pr_period,neigh_airports_pr_period,pair,airport_type,population,megapolis,tourist,distance_km,distance_km_squared,entry,entry_2
5N,0,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
RT,0,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
SHU,0,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
WZ,2,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
DP,4,1.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
7R,2,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
DRU,0,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
KAR,0,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
U6,6,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
KZN,0,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
RSJ,0,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
S7,22,8.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
Y7,4,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
R3,4,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
UVT,0,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
N4,5,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
FV,11,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
RSD,2,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
UT,13,1.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
SU,26,2.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
NWS,3,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
YC,4,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
A4,4,0.0,GDX_OVB,1,387.30995339650127,1,0,3938.832567032169,15514401.991113227,0.0,0
